Sample Name,Sample Value,Date modified,Lot,Surface,Sub-board,Link Id,Component,Shape,Pin Id,InspectObject Id,InspectWindow Id,Anchor Id,AI Judge,Algorithm Name,Algorithm Version,Element Id,Element Name,Ng Type
CircleCenter: X,-156408,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
CircleCenter: Y,-470935,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
CircleCenter: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: X,-806408,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: Y,-1120935,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: X,493592,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: Y,-1120935,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomLeft: X,-806408,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomLeft: Y,179065,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomLeft: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomRight: X,493592,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomRight: Y,179065,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusBottomRight: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
BoxCenter: X,-156408,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
BoxCenter: Y,-470935,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
BoxCenter: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
InsideAverage,227,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
Inside-Outside,186,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
Circle Match,93,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK1,,,1,1,-1,Ok,CircularFiducial,1.5.0.0,,,
CircleCenter: X,-118331,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
CircleCenter: Y,-305904,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
CircleCenter: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: X,-768331,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: Y,-955904,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopLeft: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: X,531669,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: Y,-955904,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
UserDefineRadiusTopRight: Z,0,2025/03/14 15:02:28,,A,0,MARK_CIRCULAR_1300,MARK2,,,2,1,-1,Ok,CircularFiducial,1.5.0.0,,,
